,mpl_hostname,mpl_letter,mst_metratio,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_massj,mpl_radj,mpl_dens,mpl_eqt,mpl_insol,mst_teff,mst_mass,mst_rad,mst_age,mst_lum,mpl_status
296,HD 20781,b,[Fe/H],Radial Velocity,4,5.3135,0.0529,0.1,,,,,,,5256.0,0.7,,,-0.31,3
297,HD 20781,c,[Fe/H],Radial Velocity,4,13.8905,0.1004,0.09,,,,,,,5256.0,0.7,,,-0.31,3
298,HD 20781,d,[Fe/H],Radial Velocity,4,29.158,0.1647,0.11,,,,,,,5256.0,0.7,,,-0.31,3
299,HD 20781,e,[Fe/H],Radial Velocity,4,85.5073,0.3374,0.06,,,,,,,5256.0,0.7,,,-0.31,3
300,HD 20782,b,,Radial Velocity,1,597.0643,1.3649,0.95,,,,,,,,,,,,3
301,HD 21693,b,[Fe/H],Radial Velocity,2,22.6786,0.1455,0.12,,,,,,,5430.0,0.8,,,-0.208,3
302,WASP-160 B,b,[Fe/H],Transit,1,3.7684952,0.0452,0.0,88.97,0.278,1.09,0.284,1119.0,,5298.0,0.87,0.87,9.75,,3
303,WASP-164,b,[Fe/H],Transit,1,1.7771255,0.02818,0.0,82.73,2.13,1.128,1.96,1610.0,,5806.0,0.946,0.93,4.08,,3
304,WASP-165,b,[Fe/H],Transit,1,3.465509,0.04823,0.0,84.9,0.658,1.26,0.44,1624.0,,5599.0,1.248,1.75,4.77,,3
305,K2-216,b,[Fe/H],Transit,1,2.1748,0.028,0.0,86.9,0.02517,0.156,8.2,1103.0,248.0,4503.0,0.7,0.72,,-0.721,3
306,OGLE-2013-BLG-1761L,b,,Microlensing,1,,1.8,,,2.7,,,,,,0.33,,,,3
307,OGLE-2015-BLG-0954L,b,,Microlensing,1,,1.6,,,3.4,,,,,,0.3,,,,3
308,HD 21693,c,[Fe/H],Radial Velocity,2,53.7357,0.2586,0.07,,,,,,,5430.0,0.8,,,-0.208,3
309,HD 31527,b,[Fe/H],Radial Velocity,3,16.5535,0.1254,0.1,,,,,,,5898.0,0.96,,,0.079,3
310,HD 31527,c,[Fe/H],Radial Velocity,3,51.2053,0.2663,0.04,,,,,,,5898.0,0.96,,,0.079,3
311,HD 31527,d,[Fe/H],Radial Velocity,3,271.6737,0.8098,0.24,,,,,,,5898.0,0.96,,,0.079,3
312,HD 45184,b,[Fe/H],Radial Velocity,2,5.8854,0.0644,0.07,,,,,,,5869.0,1.03,,,0.053,3
313,HD 45184,c,[Fe/H],Radial Velocity,2,13.1354,0.11,0.07,,,,,,,5869.0,1.03,,,0.053,3
314,HD 51608,b,[Fe/H],Radial Velocity,2,14.0726,0.1059,0.09,,,,,,,5358.0,0.8,,,-0.244,3
315,HD 51608,c,[Fe/H],Radial Velocity,2,95.9446,0.3809,0.14,,,,,,,5358.0,0.8,,,-0.244,3
316,K2-263,b,[m/H],Transit,1,50.818947,0.2573,0.14,89.24,0.04657,0.215,5.7,470.0,,5368.0,0.88,0.85,7.0,-0.26,3
317,HD 147379,b,[Fe/H],Radial Velocity,1,86.78,0.323,0.07,,,,,,,4156.0,0.6,,,-0.971,3
318,GJ 96,b,[Fe/H],Radial Velocity,1,73.94,0.291,0.44,,,,,,,3785.0,0.6,,,-1.052,3
319,KMT-2016-BLG-1820L,b,,Microlensing,1,,1.08,,,4.57,,,,,,0.039,,,,3
320,KMT-2016-BLG-2142L,b,,Microlensing,1,,0.83,,,15.49,,,,,,0.073,,,,3
321,MOA-2015-BLG-337L,b,,Microlensing,1,,0.24,,,0.10603,,,,,,0.0094,,,,3
322,KMT-2016-BLG-1397L,b,,Microlensing,1,,5.1,,,7.0,,,,,,0.45,,,,3
323,K2-284,b,[Fe/H],Transit,1,4.795069,0.04771,0.078,89.0,,0.248,,653.0,42.6,4140.0,0.63,0.61,0.12,-1.013,3
324,HD 39091,b,[Fe/H],Radial Velocity,2,2093.07,3.1,0.637,,,,,,,6037.0,1.094,1.1,2.98,0.16,3
325,HD 134060,b,[Fe/H],Radial Velocity,2,3.2696,0.0444,0.45,,,,,,,5966.0,1.095,,,0.158,3
326,HD 134060,c,[Fe/H],Radial Velocity,2,1291.5646,2.3928,0.11,,,,,,,5966.0,1.095,,,0.158,3
327,HD 136352,b,[Fe/H],Radial Velocity,3,11.5824,0.0934,0.14,,,,,,,5664.0,0.81,,,-0.004,3
328,HD 136352,c,[Fe/H],Radial Velocity,3,27.5821,0.1666,0.04,,,,,,,5664.0,0.81,,,-0.004,3
329,HD 136352,d,[Fe/H],Radial Velocity,3,107.5983,0.4128,0.09,,,,,,,5664.0,0.81,,,-0.004,3
330,K2-264,b,[Fe/H],Transit,2,5.840002,0.05023,,89.01,,0.199,,496.0,,3660.0,0.496,0.47,,,3
331,K2-264,c,[Fe/H],Transit,2,19.660302,0.11283,,89.38,,0.238,,331.0,,3660.0,0.496,0.47,,,3
332,HD 109749,b,[Fe/H],Radial Velocity,1,5.239891,0.0615,0.0,,,,,,,5824.0,1.13,1.22,3.3,0.19,3
333,HD 11506,b,[Fe/H],Radial Velocity,2,1622.1,2.9,0.3743,,,,,,,6030.0,1.24,1.34,2.3,0.33,3
334,HD 11506,c,[Fe/H],Radial Velocity,2,223.41,0.774,0.193,,,,,,,6030.0,1.24,1.34,2.3,0.33,3
